Generated by pymatgen.io.lammps.data.LammpsData

16000  atoms

    2  atom types

0.000000 57.106232  xlo xhi
0.000000 57.106232  ylo yhi
0.000000 57.106232  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847
2   4.001

Atoms

2      0  1  0.000000  0.000000  2.855290
21     0  1  0.000000  2.855290  0.000000
22     0  1  0.000000  2.855289  2.855289
401    0  1  2.855290  0.000000  0.000000
402    0  1  2.855289  0.000000  2.855289
421    0  1  2.855289  2.855289  0.000000
422    0  1  2.855288  2.855288  2.855288
8001   0  1  1.427645  1.427645  1.427645
8002   0  1  1.427644  1.427644  4.282935
1      0  1  0.000000  0.000000  0.000000
801    0  1  5.710583  0.000000  0.000000
802    0  1  5.710581  0.000000  2.855287
821    0  1  5.710581  2.855287  0.000000
822    0  1  5.710580  2.855286  2.855286
8401   0  1  4.282935  1.427644  1.427644
8402   0  1  4.282933  1.427643  4.282933
8801   0  1  7.138231  1.427643  1.427643
8802   0  1  7.138228  1.427642  4.282930
1202   0  1  8.565881  0.000000  2.855285
1221   0  1  8.565881  2.855285  0.000000
1222   0  1  8.565879  2.855284  2.855284
1601   0  1 11.421189  0.000000  0.000000
1602   0  1 11.421187  0.000000  2.855283
1621   0  1 11.421187  2.855283  0.000000
1622   0  1 11.421185  2.855282  2.855282
9201   0  1  9.993534  1.427642  1.427642
9202   0  1  9.993531  1.427640  4.282927
1201   0  1  8.565882  0.000000  0.000000
2001   0  1 14.276502  0.000000  0.000000
2002   0  1 14.276501  0.000000  2.855282
2021   0  1 14.276501  2.855282  0.000000
2022   0  1 14.276499  2.855280  2.855280
9601   0  1 12.848844  1.427641  1.427641
9602   0  1 12.848841  1.427639  4.282925
10001  0  1 15.704160  1.427640  1.427640
10002  0  1 15.704158  1.427638  4.282923
2401   0  1 17.131821  0.000000  0.000000
2402   0  1 17.131820  0.000000  2.855281
2421   0  1 17.131820  2.855281  0.000000
2422   0  1 17.131818  2.855279  2.855279
10401  0  1 18.559481  1.427640  1.427640
10402  0  1 18.559479  1.427638  4.282923
2801   0  1 19.987143  0.000000  0.000000
2802   0  1 19.987142  0.000000  2.855281
2821   0  1 19.987142  2.855281  0.000000
2822   0  1 19.987141  2.855279  2.855279
3201   0  1 22.842467  0.000000  0.000000
3202   0  1 22.842466  0.000000  2.855281
3221   0  1 22.842466  2.855281  0.000000
3222   0  1 22.842466  2.855279  2.855279
10801  0  1 21.414804  1.427640  1.427640
10802  0  1 21.414803  1.427638  4.282923
11201  0  1 24.270129  1.427640  1.427640
11202  0  1 24.270128  1.427638  4.282923
3601   0  1 25.697791  0.000000  0.000000
3602   0  1 25.697791  0.000000  2.855281
3621   0  1 25.697791  2.855281  0.000000
3622   0  1 25.697791  2.855279  2.855279
11601  0  1 27.125454  1.427640  1.427640
11602  0  1 27.125454  1.427638  4.282923
41     0  1  0.000000  5.710583  0.000000
42     0  1  0.000000  5.710581  2.855287
441    0  1  2.855287  5.710581  0.000000
442    0  1  2.855286  5.710580  2.855286
8021   0  1  1.427644  4.282935  1.427644
8022   0  1  1.427643  4.282933  4.282933
8041   0  1  1.427643  7.138231  1.427643
8042   0  1  1.427642  7.138228  4.282930
841    0  1  5.710579  5.710579  0.000000
842    0  1  5.710577  5.710577  2.855284
8421   0  1  4.282933  4.282933  1.427643
8422   0  1  4.282931  4.282931  4.282931
8441   0  1  4.282930  7.138228  1.427642
8442   0  1  4.282927  7.138224  4.282927
8821   0  1  7.138228  4.282930  1.427642
8822   0  1  7.138224  4.282927  4.282927
8841   0  1  7.138224  7.138224  1.427640
8842   0  1  7.138218  7.138218  4.282921
1241   0  1  8.565877  5.710575  0.000000
1242   0  1  8.565874  5.710572  2.855280
1641   0  1 11.421183  5.710572  0.000000
1642   0  1 11.421180  5.710568  2.855277
9221   0  1  9.993531  4.282927  1.427640
9222   0  1  9.993526  4.282923  4.282923
9241   0  1  9.993526  7.138219  1.427638
9242   0  1  9.993519  7.138212  4.282915
2042   0  1 14.276495  5.710565  2.855274
9621   0  1 12.848841  4.282925  1.427639
9622   0  1 12.848836  4.282919  4.282919
9641   0  1 12.848836  7.138216  1.427636
9642   0  1 12.848829  7.138206  4.282909
10021  0  1 15.704158  4.282923  1.427638
10022  0  1 15.704154  4.282917  4.282917
10041  0  1 15.704154  7.138214  1.427635
10042  0  1 15.704147  7.138203  4.282906
2041   0  1 14.276498  5.710569  0.000000
2441   0  1 17.131817  5.710568  0.000000
2442   0  1 17.131815  5.710563  2.855273
10421  0  1 18.559479  4.282923  1.427638
10422  0  1 18.559476  4.282916  4.282916
10441  0  1 18.559476  7.138214  1.427635
10442  0  1 18.559470  7.138201  4.282904
2841   0  1 19.987140  5.710568  0.000000
2842   0  1 19.987138  5.710563  2.855272
3241   0  1 22.842465  5.710569  0.000000
3242   0  1 22.842464  5.710563  2.855272
10821  0  1 21.414803  4.282923  1.427638
