,iter,ntrans,curvature,ediff,ediffmax
0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
2,2.0,0.0,10.315,0.002,0.002
3,3.0,0.0,10.315,0.001,0.002
4,4.0,0.0,5.724,0.001,0.002
5,5.0,0.0,5.724,0.001,0.002
6,6.0,0.0,4.147,0.001,0.002
7,79.0,10.0,1.072,0.183,0.188
8,80.0,10.0,1.072,0.185,0.188
9,81.0,10.0,1.072,0.211,0.211
10,82.0,10.0,1.064,0.222,0.222
11,83.0,10.0,1.064,0.217,0.222
12,84.0,10.0,1.107,0.222,0.222
13,85.0,10.0,1.107,0.218,0.222
14,86.0,10.0,1.099,0.222,0.222
15,159.0,20.0,1.0,0.67,0.68
16,160.0,20.0,1.0,0.675,0.68
17,161.0,20.0,1.0,0.725,0.725
18,162.0,20.0,0.996,0.746,0.746
19,163.0,20.0,0.996,0.736,0.746
20,164.0,20.0,1.008,0.746,0.746
21,165.0,20.0,1.008,0.737,0.746
22,166.0,20.0,1.007,0.746,0.746
23,239.0,30.0,0.972,1.461,1.475
24,240.0,30.0,0.972,1.467,1.475
25,241.0,30.0,0.972,1.54,1.54
26,242.0,30.0,0.97,1.57,1.57
27,243.0,30.0,0.97,1.556,1.57
28,244.0,30.0,0.975,1.57,1.57
29,245.0,30.0,0.975,1.557,1.57
30,246.0,30.0,0.975,1.57,1.57
31,319.0,40.0,0.947,2.551,2.57
32,320.0,40.0,0.947,2.56,2.57
33,321.0,40.0,0.947,2.658,2.658
34,322.0,40.0,0.943,2.698,2.698
35,323.0,40.0,0.943,2.678,2.698
36,324.0,40.0,0.945,2.698,2.698
37,325.0,40.0,0.945,2.678,2.698
38,326.0,40.0,0.945,2.698,2.698
39,399.0,50.0,0.908,3.988,4.014
40,400.0,50.0,0.908,4.001,4.014
41,401.0,50.0,0.908,4.127,4.127
42,402.0,50.0,0.904,4.178,4.178
43,403.0,50.0,0.904,4.152,4.178
44,404.0,50.0,0.906,4.178,4.178
45,405.0,50.0,0.906,4.152,4.178
46,406.0,50.0,0.906,4.178,4.178
47,479.0,60.0,0.867,5.787,5.82
48,480.0,60.0,0.867,5.804,5.82
49,481.0,60.0,0.867,5.958,5.958
50,482.0,60.0,0.862,6.02,6.02
51,483.0,60.0,0.862,5.987,6.02
52,484.0,60.0,0.864,6.02,6.02
53,485.0,60.0,0.864,5.987,6.02
54,486.0,60.0,0.864,6.02,6.02
55,559.0,70.0,0.826,7.946,7.985
56,560.0,70.0,0.826,7.967,7.985
57,561.0,70.0,0.826,8.147,8.147
58,562.0,70.0,0.821,8.22,8.22
59,563.0,70.0,0.821,8.181,8.22
60,564.0,70.0,0.823,8.22,8.22
61,565.0,70.0,0.823,8.181,8.22
62,566.0,70.0,0.824,8.22,8.22
63,639.0,80.0,0.805,10.452,10.495
64,640.0,80.0,0.805,10.474,10.495
65,641.0,80.0,0.805,10.681,10.681
66,642.0,80.0,0.8,10.764,10.764
67,643.0,80.0,0.8,10.72,10.764
68,644.0,80.0,0.802,10.764,10.764
69,645.0,80.0,0.802,10.721,10.764
70,646.0,80.0,0.802,10.764,10.764
71,719.0,90.0,0.785,13.284,13.331
72,720.0,90.0,0.785,13.308,13.331
73,721.0,90.0,0.785,13.54,13.54
74,722.0,90.0,0.782,13.633,13.633
75,723.0,90.0,0.782,13.585,13.633
76,724.0,90.0,0.784,13.633,13.633
77,725.0,90.0,0.784,13.585,13.633
78,726.0,90.0,0.784,13.633,13.633
79,799.0,100.0,0.77,16.436,16.487
80,800.0,100.0,0.77,16.462,16.487
81,801.0,100.0,0.77,16.717,16.717
82,802.0,100.0,0.767,16.82,16.82
83,803.0,100.0,0.767,16.768,16.82
84,804.0,100.0,0.768,16.82,16.82
85,805.0,100.0,0.768,16.769,16.82
86,806.0,100.0,0.768,16.82,16.82
87,879.0,110.0,0.742,19.89,19.946
88,880.0,110.0,0.742,19.919,19.946
89,881.0,110.0,0.742,20.197,20.197
90,882.0,110.0,0.738,20.309,20.309
91,883.0,110.0,0.738,20.251,20.309
92,884.0,110.0,0.739,20.309,20.309
93,885.0,110.0,0.739,20.251,20.309
94,886.0,110.0,0.738,20.309,20.309
95,959.0,120.0,0.707,23.631,23.69
96,960.0,120.0,0.707,23.66,23.69
97,961.0,120.0,0.707,23.958,23.958
