Generated by pymatgen.io.lammps.data.LammpsData

531  atoms

  2  atom types

0.000000 57.106232  xlo xhi
0.000000 57.106232  ylo yhi
0.000000 57.106232  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847
2   4.001

Atoms

1    0  2 -0.331358 -0.104627  -0.224818
2    0  1 -1.545345 -1.422336  -1.497975
3    0  1 -1.523032 -1.395805   1.429048
4    0  1 -1.452433  1.516851  -1.483254
5    0  1 -1.432167  1.494035   1.400728
6    0  1  1.322363 -1.442956  -1.460543
7    0  1  1.296270 -1.436727   1.418650
8    0  1  1.369186  1.410351  -1.456066
9    0  1  1.346728  1.390804   1.387385
10   0  1 -2.938480  0.077106  -0.026571
11   0  1 -0.118973 -2.889215  -0.016516
12   0  1 -0.066821  0.019651  -2.949783
13   0  1 -0.071850  0.018124   2.888370
14   0  1  0.018613  2.937208  -0.031211
15   0  1  2.781339 -0.052478  -0.014121
16   0  1 -2.924158 -2.826840  -0.009321
17   0  1 -2.892292  0.076415  -2.895940
18   0  1 -2.883700  0.078820   2.850790
19   0  1 -2.812813  2.963812  -0.021373
20   0  1 -0.080699 -2.854070  -2.893468
21   0  1 -0.107290 -2.843828   2.877942
22   0  1  0.023795  2.900022  -2.900713
23   0  1  0.022670  2.884724   2.854838
24   0  1  2.745678 -2.863003   0.002778
25   0  1  2.788753 -0.033257  -2.879450
26   0  1  2.773091 -0.035201   2.850005
27   0  1  2.838251  2.802255  -0.013262
28   0  1 -4.314788 -1.371864  -1.450940
29   0  1 -4.307052 -1.372250   1.431299
30   0  1 -4.273357  1.533705  -1.445900
31   0  1 -4.264754  1.532744   1.417501
32   0  1 -1.500493 -4.281389  -1.448066
33   0  1 -1.508296 -4.271183   1.438874
34   0  1 -1.485799 -1.406176  -4.324307
35   0  1 -1.495199 -1.391795   4.300760
36   0  1 -1.439730  1.493744  -4.323937
37   0  1 -1.434109  1.481875   4.281386
38   0  1 -1.361341  4.363124  -1.466447
39   0  1 -1.360913  4.353822   1.422619
40   0  1  1.348177 -4.275831  -1.439495
41   0  1  1.324868 -4.273196   1.443471
42   0  1  1.374101 -1.433342  -4.317102
43   0  1  1.354504 -1.428388   4.298073
44   0  1  1.411195  1.428570  -4.316353
45   0  1  1.404923  1.416439   4.289178
46   0  1  1.485404  4.288866  -1.453909
47   0  1  1.481855  4.278050   1.422283
48   0  1  4.206858 -1.455966  -1.430523
49   0  1  4.192818 -1.462822   1.434938
50   0  1  4.231564  1.356371  -1.435858
51   0  1  4.231522  1.354553   1.417137
52   0  1 -2.916478 -2.838842  -2.888374
53   0  1 -2.909908 -2.824030   2.870297
54   0  1 -2.831542  2.954335  -2.888855
55   0  1 -2.813866  2.938444   2.846525
56   0  1  2.791346 -2.849861  -2.866250
57   0  1  2.756606 -2.855847   2.865237
58   0  1  2.848888  2.812977  -2.871176
59   0  1  2.839430  2.791583   2.838577
60   0  1 -5.701004  0.073695  -0.001786
61   0  1 -0.057633 -5.705652   0.004075
62   0  1 -0.020084  0.016260  -5.740218
63   0  1 -0.030168  0.017255   5.722641
64   0  1  0.091587  5.745903  -0.013341
65   0  1  5.660341 -0.057529   0.002004
66   0  1 -4.312385 -4.263841  -1.428428
67   0  1 -4.318649 -4.255583   1.439380
68   0  1 -4.303360 -1.382005  -4.296437
69   0  1 -4.299395 -1.373781   4.284100
70   0  1 -4.284061  1.506559  -4.301732
71   0  1 -4.278110  1.504106   4.277440
72   0  1 -4.227446  4.379950  -1.434278
73   0  1 -4.219066  4.374084   1.426825
74   0  1 -1.464130 -4.280649  -4.297209
75   0  1 -1.488264 -4.269392   4.315914
76   0  1 -1.379446  4.333101  -4.323641
77   0  1 -1.379794  4.330706   4.289253
78   0  1  1.400140 -4.269889  -4.292665
79   0  1  1.359948 -4.267804   4.305610
80   0  1  1.481441  4.282553  -4.319508
81   0  1  1.481279  4.273252   4.290893
82   0  1  4.227806 -4.260178  -1.412858
83   0  1  4.215134 -4.267148   1.443529
84   0  1  4.257038 -1.433450  -4.287656
85   0  1  4.229711 -1.447248   4.285165
86   0  1  4.261603  1.387836  -4.289490
87   0  1  4.256033  1.370775   4.281075
88   0  1  4.293978  4.220589  -1.433040
89   0  1  4.304662  4.204244   1.423337
90   0  1 -5.724962 -2.816495   0.002623
91   0  1 -5.711188  0.069284  -2.858693
92   0  1 -5.703742  0.069769   2.850211
93   0  1 -5.672608  2.949733   0.001900
94   0  1 -2.891778 -5.702668   0.007987
95   0  1 -2.867803  0.047093  -5.729974
96   0  1 -2.872834  0.052771   5.710741
97   0  1 -2.769467  5.786770  -0.010359
98   0  1 -0.028654 -5.706318  -2.863020
99   0  1 -0.061554 -5.696504   2.878645
100  0  1 -0.028186 -2.851494  -5.728915
101  0  1 -0.048972 -2.837259   5.733154
102  0  1  0.021081  2.874990  -5.745673
103  0  1  0.014921  2.872717   5.710691
104  0  1  0.087357  5.740521  -2.890543
